电子梦,不必对比什么 作为里程碑他已经无敌,5
Handle,接近三小时的片长恨不得要讲十部片的内容，讲又讲不清楚，大年初一仿佛被塞了几十道半生不熟的菜的年夜饭,2
了不起的花轮君,原来人死后还要继续干生前的活儿是真的。,4
HarperDie,三星半。郭帆拍片的恳切，在场景设计和视效的细腻度上，被展现得淋漓尽致，又一次拉高了中国科幻作品的工业水准。雪健老师依旧老辣，刘德华则收获了近年来最有挑战的角色。可惜的是，这部续作在叙事层面太过松散，刘培强、图恒宇两条主线并行，还要给周喆直超大篇幅，以至于情节取舍变得犹疑不决，这对节奏先行的科幻片来说是大忌。角色的篆刻比重，是该系列在未来第一优先要做的功课。,3
撕蓝,刘德华那条线有点儿意思，为这个系列电影开启了新维度。太长了，删减强制煽情正能量能短30min。,4
C,“这是俄罗斯的型号，没有安全保险，只有两个扳机。”,4
呛口老辣椒614,低开高走，前半小时脚趾抓地，刘培强的爱情线真的很尬，那个女性胸部特写后韩朵朵生气，我非常非常厌恶郭帆这种没有任何笑点的恶趣味。图恒宇的线救回来了，华仔真的神。ps朱颜曼滋很适合这种角色，喜欢她的颜。,4
DrunkenPeach,2019年看第一部的时候就想着，回国之后如果能在这样的剧组工作就好了，结果今年就真的在这部的片尾字幕了。🥰与有荣焉。今天很想念组里的朋友们。,5
牛奶很忙,第一部的全方位升级版，更宏大的特效奇观，更细致的科幻设定。上一部炸木星，这一部炸月亮，下一部不炸太阳真的很难收场了。,3
特凡人,看到沙溢扮演的师傅喊出五十岁以上的出列时还是忍不住落泪,4
